City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Kruisfontein,ZA,-34.0033,24.7314,69.01,45,0,1.01,Clear
82,Coracora,PE,-15.0333,-73.7833,63.61,39,5,9.19,Clear
83,Liverpool,GB,53.4106,-2.9779,60.8,41,20,3.44,Clouds
84,Ostrovnoy,RU,68.0531,39.5131,33.51,87,81,14.27,Clouds
85,Magdeburg,DE,52.1667,11.6667,50.0,87,100,3.0,Clouds
86,Bonthe,SL,7.5264,-12.505,83.86,69,74,10.58,Clouds
87,Puebloviejo,CO,10.9938,-74.2844,91.4,58,75,5.75,Clouds
88,Atuona,PF,-9.8,-139.0333,81.39,70,90,16.84,Clouds
89,Mayo,US,38.8876,-76.5119,64.0,67,1,12.66,Clear
90,Port-Gentil,GA,-0.7193,8.7815,82.4,83,20,6.91,Clouds
91,Mehamn,NO,71.0357,27.8492,39.2,70,0,17.27,Clear
92,Boffa,GN,10.1667,-14.0333,83.07,63,87,11.3,Clouds
93,Yellowknife,CA,62.456,-114.3525,35.6,64,20,8.05,Clouds
94,Hornepayne,CA,49.2138,-84.7705,49.96,37,77,6.04,Clouds
95,Ukiah,US,39.1502,-123.2078,71.01,36,1,3.44,Clear
96,Constitucion,CL,-35.3333,-72.4167,65.23,58,43,6.38,Clouds
97,Meulaboh,ID,4.1363,96.1285,77.52,85,86,1.5,Clouds
98,Ancud,CL,-41.8697,-73.8203,55.4,88,90,11.5,Rain
99,Kapaa,US,22.0752,-159.319,71.6,73,90,8.05,Clouds
100,Kavieng,PG,-2.5744,150.7967,81.73,77,93,9.04,Rain
101,Saldanha,ZA,-33.0117,17.9442,69.8,60,5,6.91,Clear
102,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,20,14.97,Clouds
103,Maniitsoq,GL,65.4167,-52.9,19.74,57,90,13.15,Clouds
104,Ilulissat,GL,69.2167,-51.1,10.4,48,94,9.22,Clouds
105,Gurupa,BR,-1.405,-51.64,71.29,98,100,3.11,Clouds
106,Butaritari,KI,3.0707,172.7902,82.54,77,75,12.55,Clouds
107,Mahon,ES,39.8885,4.2658,57.2,44,0,12.66,Clear
108,Mukhen,RU,48.1,136.1,38.21,92,82,4.7,Clouds
109,Jinchang,CN,38.4953,102.1739,55.17,24,100,6.44,Clouds
110,Upernavik,GL,72.7868,-56.1549,11.97,75,100,3.58,Clouds
111,Nikolskoye,RU,59.7035,30.7861,53.6,32,0,13.42,Clear
112,Fuxin,CN,42.0156,121.6589,60.66,16,50,11.45,Clouds
113,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,90,12.66,Clouds
114,Broome,US,42.2506,-75.833,55.4,44,20,9.22,Clouds
115,Buin,CL,-33.7333,-70.75,73.0,63,23,6.42,Haze
116,Clyde River,CA,70.4692,-68.5914,6.8,85,90,10.36,Mist
117,Hambantota,LK,6.1241,81.1185,80.94,78,54,11.61,Clouds
118,Kenai,US,60.5544,-151.2583,39.2,60,1,10.36,Clear
119,Korem,ET,12.5058,39.5228,60.85,40,53,4.21,Clouds
120,Manavalakurichi,IN,8.1333,77.3,82.4,83,75,3.44,Mist
121,Kiboga,UG,0.9161,31.7742,63.72,93,99,3.13,Rain
122,Itarema,BR,-2.9248,-39.9167,82.83,71,96,11.56,Clouds
123,East London,ZA,-33.0153,27.9116,73.4,53,0,5.75,Clear
124,Sibolga,ID,1.7427,98.7792,76.55,88,60,2.08,Rain
125,Auburn,US,47.3073,-122.2284,68.0,42,20,2.93,Clouds
126,Guajara,BR,-2.9667,-57.6667,75.31,97,91,5.48,Rain
127,Tynda,RU,55.1667,124.7167,18.79,77,100,11.65,Clouds
128,Westerland,DE,54.9079,8.3033,57.99,66,0,5.75,Clear
129,Portland,US,45.5234,-122.6762,68.0,36,27,1.01,Clouds
130,Leningradskiy,RU,69.3833,178.4167,17.53,81,5,8.61,Clear
131,Leh,IN,34.1667,77.5833,35.19,59,90,4.12,Snow
132,Sobolevo,RU,54.4299,31.8996,43.38,84,94,9.82,Clouds
133,Betsiamites,CA,48.9413,-68.646,39.2,70,90,11.5,Clouds
134,Boyolangu,ID,-8.1181,111.8935,73.69,90,61,0.45,Clouds
135,Sur,OM,22.5667,59.5289,82.24,62,100,5.14,Clouds
136,Harboore,DK,56.6175,8.1807,59.0,67,12,5.99,Clouds
137,Ocos,GT,14.5094,-92.1933,91.4,52,40,8.05,Clouds
138,Padang,ID,-0.9492,100.3543,76.62,87,71,3.89,Rain
139,Saint-Pierre,RE,-21.3393,55.4781,75.2,78,90,12.66,Clouds
140,Belomorsk,RU,64.5232,34.7668,33.82,69,1,4.38,Clear
141,Vaini,TO,-21.2,-175.2,68.0,94,20,10.87,Clouds
142,Yeadon,GB,53.8644,-1.6874,57.0,38,89,5.82,Clouds
143,Nelson Bay,AU,-32.7167,152.15,54.0,100,7,2.3,Clear
144,Hualmay,PE,-11.0964,-77.6139,72.72,74,61,8.81,Clouds
145,Sezana,SI,45.7092,13.8733,54.0,50,75,6.91,Clouds
146,Qaanaaq,GL,77.484,-69.3632,5.68,70,100,7.74,Clouds
147,Ahipara,NZ,-35.1667,173.1667,54.07,82,48,3.24,Clouds
148,Dikson,RU,73.5069,80.5464,-7.31,100,99,2.95,Clouds
149,San Patricio,US,28.017,-97.5169,60.8,59,90,11.5,Clouds
150,Marathon,US,44.9,-89.7668,59.0,24,90,4.61,Clouds
151,Kahului,US,20.8947,-156.47,69.8,100,75,9.22,Rain
152,Toropets,RU,56.4978,31.6353,46.51,64,8,7.18,Clear
153,Castro,BR,-24.7911,-50.0119,70.0,62,94,5.35,Clouds
154,Sao Filipe,CV,14.8961,-24.4956,73.17,73,1,12.41,Clear
155,Iisalmi,FI,63.5592,27.1907,50.0,32,0,3.44,Clear
156,Lebu,CL,-37.6167,-73.65,62.22,68,82,12.03,Clouds
157,Doha,QA,25.2867,51.5333,82.99,61,0,6.91,Clear
