City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Ahipara,NZ,54.07,Clouds,-35.1667,173.1667,Ahipara Holiday Park
149,San Patricio,US,60.8,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
150,Marathon,US,59.0,Clouds,44.9,-89.7668,
151,Kahului,US,69.8,Rain,20.8947,-156.47,Maui Seaside Hotel
152,Toropets,RU,46.51,Clear,56.4978,31.6353,Toropa
153,Castro,BR,70.0,Clouds,-24.7911,-50.0119,CHACARA BAILLY
154,Sao Filipe,CV,73.17,Clear,14.8961,-24.4956,Tortuga B&B
155,Iisalmi,FI,50.0,Clear,63.5592,27.1907,Original Sokos Hotel Koljonvirta
156,Lebu,CL,62.22,Clouds,-37.6167,-73.65,Hostal Las Lilas
160,Hasaki,JP,53.6,Clouds,35.7333,140.8333,Hotel Sunrise Choshi
162,Havoysund,NO,41.0,Clear,70.9963,24.6622,Arctic View Glamping & Restaurant
165,Jamestown,US,54.0,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
167,Bowen,AU,71.6,Clouds,-20.0167,148.2333,Castle Motor Lodge Motel
168,Betafo,MG,57.13,Clouds,-19.8333,46.85,CHEZ MALALA
170,Koumac,NC,74.44,Clouds,-20.5667,164.2833,Le Monitel
171,Uvira,CD,73.81,Rain,-3.4067,29.1458,Hotel Suzana
173,Chuy,UY,72.72,Clear,-33.6971,-53.4616,Nuevo Hotel Plaza
175,Korla,CN,65.05,Clouds,41.7597,86.1469,Gulisitan Hotel
176,Victoria,HK,73.0,Clouds,22.2855,114.1577,Mini Hotel Central
177,Floro,NO,51.8,Clear,61.5996,5.0328,Kinn Hotell Florø
180,Lagoa,PT,60.94,Clouds,39.05,-27.9833,Casa Das Faias
183,Mildura,AU,48.2,Clouds,-34.2,142.15,Mercure Hotel Mildura
184,Yueyang,CN,56.55,Clouds,29.3333,113.0919,Delong Fortune Hotel
186,Coquimbo,CL,59.0,Clouds,-29.9533,-71.3436,Punto de encuentro
189,Miyako,JP,48.07,Clouds,39.6367,141.9525,Hotel Route Inn Miyako
190,Esperance,AU,55.4,Clear,-33.8667,121.9,Hospitality Esperance
195,Lima,PE,71.6,Clear,-12.0432,-77.0282,Gran Hotel Bolivar Lima
198,Laguna,US,73.0,Clear,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
207,Ribeira Grande,PT,66.2,Clouds,38.5167,-28.7,Quinta da Meia Eira
208,Kwinana,AU,61.0,Clear,-32.25,115.7667,Rockingham Apartments
209,Guerrero Negro,MX,66.18,Clear,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
211,Nishihara,JP,64.4,Clouds,26.1842,127.7558,Minshuku Agaihama
213,Port Hedland,AU,71.6,Clear,-20.3167,118.5667,The Esplanade Hotel
215,Ponta Do Sol,PT,64.99,Clouds,32.6667,-17.1,Hotel do Campo
216,Sargur,IN,73.72,Rain,11.9833,76.4167,VMH STAFF QUARTERS
217,Saint Anthony,US,60.01,Clear,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
222,Delcevo,MK,46.44,Clouds,41.9672,22.7694,Vodenica Rooms
226,Ulverstone,AU,52.0,Clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
227,Coihaique,CL,51.8,Rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
229,Russell,US,73.0,Clear,32.3502,-85.1999,Macs
230,Quesnel,CA,51.8,Clear,52.9999,-122.5029,Ramada by Wyndham Quesnel
231,Meadow Lake,US,48.99,Clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
233,Mackay,AU,71.01,Clouds,-21.15,149.2,International Lodge Motel
235,Atambua,ID,71.1,Clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
238,Geraldton,AU,64.4,Clouds,-28.7667,114.6,Broadwater Mariner Resort
239,Robe,AU,61.0,Clouds,-37.1833,139.75,Harbour View Motel
242,Wahpeton,US,57.2,Clear,46.2652,-96.6059,Select Inn Breckenridge
244,Obidos,BR,73.38,Rain,-1.9175,-55.5181,Hotel Amazônia Center
246,Bethel,US,60.8,Clouds,41.3712,-73.414,Courtyard by Marriott Danbury
247,Trojes,AL,55.4,Clear,41.756,19.962,Sofra e Kthellës
249,Stokmarknes,NO,48.2,Clear,68.5646,14.9108,Vesterålen Kysthotell
250,Kardymovo,RU,44.83,Clouds,54.8902,32.4311,
256,Tweed,CA,55.4,Clouds,44.4751,-77.3162,Stoco Lake Lodge at Trudeau Park
259,Cascais,PT,69.8,Clear,38.6979,-9.4215,Hotel Vila Galé Cascais
261,Praia Da Vitoria,PT,69.8,Clouds,38.7333,-27.0667,Hotel Branco I
263,Glens Falls,US,53.6,Clouds,43.3095,-73.64399999999999,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
265,Codrington,AU,50.86,Clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
266,Yumen,CN,52.56,Clouds,40.2833,97.2,
268,Sidi Ali,DZ,56.71,Clear,36.0998,0.4206,الغابة الترفيهية بورحمة
270,Grimshaw,CA,41.0,Clouds,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
273,Santa Maria Del Oro,MX,71.64,Clear,25.9333,-105.3667,Hotel Palacio Del Sol
275,Xining,CN,48.54,Clouds,36.6167,101.7667,Super Leisure Hotel
276,Yarmouth,US,55.4,Clouds,41.7057,-70.2286,Blue Rock Resort
279,Port Elizabeth,ZA,66.2,Clear,-33.918,25.5701,39 On Nile Guest House
282,Kang,BW,67.06,Clouds,-23.6752,22.7876,Kang Ultra Stop
283,Price,US,51.8,Clear,39.5994,-110.8107,National 9 - Price River Inn
284,Nizhniy Baskunchak,RU,56.62,Clouds,48.2198,46.8311,Arman hotel
285,Urbandale,US,60.01,Clouds,41.6267,-93.7122,Hilton Garden Inn Des Moines/Urbandale
287,Betera,ES,62.01,Clear,39.5833,-0.45,Hotel Mas Camarena
288,Roald,NO,51.8,Clear,62.5833,6.1333,Flem Cabins
289,Lompoc,US,72.0,Clear,34.6391,-120.4579,Holiday Inn Express Lompoc
291,Saint George,US,64.99,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
293,Taltal,CL,68.61,Clear,-25.4,-70.4833,Residencial Karime
295,Adelaide,AU,57.0,Clouds,-34.9333,138.6,The Chancellor on Currie
296,Chapaevsk,RU,51.8,Clear,52.9813,49.7112,Триумф
297,Chicama,PE,66.2,Fog,-7.8447,-79.1469,Hospedaje Punta Cana PERU
300,Ibia,BR,73.4,Clouds,-19.4783,-46.5389,Hotel Triângulo
304,Tura,IN,70.84,Clouds,25.5198,90.2201,Hotel RIKMAN Continental
305,Rock Springs,US,44.6,Clear,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
307,Comodoro Rivadavia,AR,71.6,Clear,-45.8667,-67.5,Austral Hotel
309,Faya,SA,69.8,Clouds,18.3851,42.4509,مقبرة ال مجمل
314,San Angelo,US,61.0,Clouds,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
315,Ahuimanu,US,73.4,Clear,21.4447,-157.8378,Paradise Bay Resort
317,Kapit,MY,69.91,Clouds,2.0167,112.9333,Hotel Meligai Kapit
318,Santo Antonio Do Ica,BR,72.72,Clouds,-3.1022,-67.9397,Hotel Fogaça
320,Moindou,NC,68.0,Clouds,-21.6924,165.67700000000002,Gite de la RYAWA
321,Redmond,US,66.99,Clouds,47.674,-122.1215,Seattle Marriott Redmond
323,Pisco,PE,71.6,Clear,-13.7,-76.2167,Hotel San Isidro Oficial
324,Shimoda,JP,46.99,Clear,34.6667,138.95,Shimoda Tokyu Hotel
325,Wasilla,US,51.01,Clear,61.5814,-149.4394,Alaska's Select Inn Wasilla
326,Legionowo,PL,57.0,Clear,52.4015,20.9266,Pokoje Legionowo Jabłonna
330,Kodiak,US,42.8,Rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
333,Berwick,US,57.0,Clouds,41.0545,-76.2333,The White Birch Inn B & B
339,Half Moon Bay,US,70.0,Clear,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
340,Bocas Del Toro,PA,71.01,Clouds,9.3333,-82.25,Hotel Bocas del Toro
341,Neiafu,TO,71.6,Clouds,-18.65,-173.9833,Mystic Sands
344,Asau,RO,43.0,Clouds,46.4333,26.4,Casa Mika Ciobanus
346,Liwale,TZ,64.47,Clouds,-9.7667,37.9333,Samoma Lodge
349,Dunedin,NZ,50.67,Clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
354,Zhuanghe,CN,47.14,Clear,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
355,Namanyere,TZ,59.5,Clouds,-7.5167,31.05,Manyovu Lodge
357,Flinders,AU,53.01,Clear,-34.5833,150.8552,Shellharbour Resort & Conference Centre
360,Te Anau,NZ,51.39,Clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
361,Yulara,AU,55.4,Clear,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
363,Domodossola,IT,55.99,Clouds,46.1165,8.2931,Eurossola
364,Merrill,US,59.0,Clouds,45.1805,-89.6835,Prairie Motel
367,Nenjiang,CN,43.47,Clouds,49.1833,125.2167,Nenjiang Apartment
369,Wehr,DE,50.0,Clouds,47.6298,7.9042,Hotel Restaurant Klosterhof
375,Inverell,AU,45.0,Clear,-29.7833,151.1167,Sapphire City Motor Inn
376,Houston,US,60.8,Clear,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
378,Xiongzhou,CN,59.95,Rain,25.1167,114.3,Xinhewan Business Hotel
379,Vwawa,TZ,57.94,Clouds,-9.1167,32.9333,Vwawa Secondary School's Hostels
381,Sorland,NO,46.4,Clear,67.667,12.6934,Sjybrygga fiskecamp
382,Khash,IR,68.9,Clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
385,Eresos,GR,64.4,Clouds,39.1667,25.9333,Studio Aspa
387,Kashi,CN,64.4,Clouds,39.4547,75.9797,帕米尔青年旅舍
389,West Plains,US,59.0,Clouds,36.7281,-91.8524,West Plains Motel
390,Fortuna,US,63.0,Clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
391,Oranjemund,,70.63,Clouds,-28.55,16.4333,The Fisherman's Cove
392,Wanaka,NZ,48.07,Rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
393,Banyo,CM,71.49,Clouds,6.75,11.8167,Motel JOMBA
395,Hwange,ZW,65.52,Clear,-18.3693,26.5019,Hwange Colliery Guest House
397,Kaitangata,NZ,57.0,Clouds,-46.2817,169.8464,Kaitangata Motor Camp
401,Merignac,FR,60.01,Clear,44.8325,-0.6338,Appart'City Bordeaux Centre - Appart Hôtel
402,Roma,US,57.2,Clouds,43.2128,-75.4557,Wingate By Wyndham Rome
403,Itoman,JP,64.4,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
404,Griffith,US,61.0,Clear,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
407,Kushiro,JP,40.62,Clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
410,North Bend,US,44.6,Mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
416,Chimoio,MZ,66.0,Clouds,-19.1164,33.4833,Predio Livraria Ahmed
417,Jabinyanah,TN,60.8,Clouds,35.035,10.9081,maison belmabrouk
420,Texarkana,US,60.8,Clouds,33.4251,-94.0477,Holiday Inn Express & Suites Texarkana
421,Bud,US,62.01,Clear,39.446999999999996,-86.1758,Ted McQuinn Trust
422,Lamar,US,62.01,Clouds,33.6668,-95.5836,Kings Inn Paris TX
423,Tuatapere,NZ,55.0,Clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
424,Debre Birhan,ET,55.76,Clouds,9.6833,39.5333,Helen Hotel
427,San Quintin,MX,66.36,Clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
429,Komsomolskiy,UZ,57.2,Clouds,40.4272,71.7189,Ikathouse
431,Dumai,ID,73.9,Clouds,1.6833,101.45,Grand Zuri Dumai
433,Lata,PT,69.01,Clouds,40.1629,-8.3327,Casa Maquia
434,Gushikawa,JP,62.6,Clouds,26.3544,127.8686,Kirari Guest House
435,Qianan,CN,48.6,Clouds,44.9932,124.0581,Qian'an Hotel
436,Addis Abeba,ET,59.09,Rain,9.025,38.7469,Hotel Concord
437,Waitati,NZ,49.98,Clouds,-45.75,170.5667,Arden Country House BnB Dunedin
438,Tiznit,MA,67.73,Clouds,29.5833,-9.5,
439,Moron,AR,73.99,Clouds,-34.6534,-58.6198,Hotel Morón
440,Manitouwadge,CA,44.6,Clouds,49.1215,-85.8403,Select Inn
